,index,loss,accuracy,type,epoch
0,0.0,2.2671795719137338,0.14365,train,0
1,1.0,2.2581760230208636,0.151875,train,1
2,2.0,2.235811598733869,0.1637,train,2
3,3.0,2.199093733284977,0.18375,train,3
4,4.0,2.1326352523734777,0.216375,train,4
5,5.0,2.063125256817196,0.249225,train,5
6,6.0,2.00538742976585,0.2727,train,6
7,7.0,1.9527803165595836,0.298,train,7
8,8.0,1.9043873928089403,0.32345,train,8
9,9.0,1.8634655734162775,0.341325,train,9
10,10.0,1.8279239644695358,0.355675,train,10
11,11.0,1.7969237781621488,0.36855,train,11
12,12.0,1.769727358543433,0.379325,train,12
13,13.0,1.745829739096542,0.38905,train,13
14,14.0,1.7249040583208979,0.398,train,14
15,15.0,1.7067102309951596,0.40645,train,15
16,16.0,1.690746400947163,0.4122,train,16
17,17.0,1.676427634501547,0.4191,train,17
18,18.0,1.6634394121760685,0.424375,train,18
19,19.0,1.6515340163983245,0.430025,train,19
20,20.0,1.64055009172916,0.4342,train,20
21,21.0,1.630388104939869,0.43875,train,21
22,22.0,1.620942181799972,0.442375,train,22
23,23.0,1.6120944452153194,0.4456,train,23
24,24.0,1.603719718327478,0.4489,train,24
25,25.0,1.5957381467408134,0.451775,train,25
26,26.0,1.588117643913228,0.454875,train,26
27,27.0,1.580838625982422,0.45705,train,27
28,28.0,1.5738807361131832,0.46015,train,28
29,29.0,1.5672189293711591,0.463375,train,29
30,30.0,1.5608282297795881,0.4657,train,30
31,31.0,1.5546880316869551,0.468325,train,31
32,32.0,1.5487825151255605,0.4705,train,32
33,33.0,1.543098381952326,0.4721,train,33
34,34.0,1.5376212953292903,0.47455,train,34
35,35.0,1.5323354140977756,0.476775,train,35
36,36.0,1.5272248797037338,0.4787,train,36
37,37.0,1.5222751912239147,0.48115,train,37
38,38.0,1.5174736135078442,0.48265,train,38
39,39.0,1.5128085819538744,0.484625,train,39
40,40.0,1.5082688832433333,0.48585,train,40
41,41.0,1.50384319802812,0.48755,train,41
42,42.0,1.499520043003157,0.489275,train,42
43,43.0,1.495287937280684,0.491,train,43
44,44.0,1.4911356225757122,0.492825,train,44
45,45.0,1.4870523114148004,0.4946,train,45
46,46.0,1.4830280808161431,0.4965,train,46
47,47.0,1.479054370450339,0.498025,train,47
48,48.0,1.4751241773176798,0.4994,train,48
49,49.0,1.4712316315949217,0.5014,train,49
50,50.0,1.4673714149449422,0.50235,train,50
51,51.0,1.46353939934952,0.50415,train,51
52,52.0,1.459735183571875,0.505975,train,52
53,53.0,1.4559635389411278,0.50735,train,53
54,54.0,1.4522311329753501,0.508875,train,54
55,55.0,1.448542454860838,0.51015,train,55
56,56.0,1.4448994954224486,0.511325,train,56
57,57.0,1.4413029630185885,0.512875,train,57
58,58.0,1.4377529929725459,0.514375,train,58
59,59.0,1.4342494144559945,0.51555,train,59
60,60.0,1.4307919102619409,0.517525,train,60
61,61.0,1.4273801203736598,0.518975,train,61
62,62.0,1.4240136989335692,0.520675,train,62
63,63.0,1.4206922721503867,0.522325,train,63
64,64.0,1.4174153019995346,0.5235,train,64
65,65.0,1.414182049922421,0.524825,train,65
66,66.0,1.4109916437540484,0.526425,train,66
67,67.0,1.4078431357228958,0.527725,train,67
68,68.0,1.4047355164756004,0.5295,train,68
69,69.0,1.4016677017437993,0.53135,train,69
70,70.0,1.3986385220811994,0.53265,train,70
71,71.0,1.3956467469144314,0.5333,train,71
72,72.0,1.392691148245969,0.5345,train,72
73,73.0,1.3897705632816826,0.535575,train,73
74,74.0,1.3868839091863505,0.536925,train,74
75,75.0,1.3840301620557214,0.538275,train,75
76,76.0,1.3812083551007923,0.53985,train,76
77,77.0,1.3784176116667342,0.5406,train,77
78,78.0,1.375657161351414,0.541875,train,78
79,79.0,1.3729262988529498,0.543325,train,79
80,80.0,1.3702243184182399,0.5444,train,80
81,81.0,1.3675504632324227,0.5455,train,81
82,82.0,1.3649038881443782,0.54635,train,82
83,83.0,1.362283630677214,0.5469,train,83
84,84.0,1.3596885907926772,0.5478,train,84
85,85.0,1.3571175181721467,0.54885,train,85
86,86.0,1.354569036431227,0.549975,train,86
87,87.0,1.3520418017030158,0.550975,train,87
88,88.0,1.3495348702298495,0.551975,train,88
89,89.0,1.347048015337258,0.552725,train,89
90,90.0,1.3445815180011584,0.553625,train,90
91,91.0,1.3421356196124026,0.55435,train,91
92,92.0,1.3397102622592414,0.555275,train,92
93,93.0,1.3373051799385915,0.55675,train,93
94,94.0,1.3349200518250839,0.558225,train,94
95,95.0,1.3325545784932469,0.5588,train,95
96,96.0,1.330208498036152,0.559675,train,96
97,97.0,1.327881583321757,0.560575,train,97
98,98.0,1.325573637643166,0.561425,train,98
99,99.0,1.3232844895804234,0.5624,train,99
100,100.0,1.321013984213261,0.5633,train,100
101,101.0,1.3187619696329915,0.56455,train,101
102,102.0,1.3165282808052439,0.565575,train,102
103,103.0,1.314312725648579,0.5665,train,103
104,104.0,1.3121150799607044,0.567075,train,104
105,105.0,1.3099350976278963,0.567975,train,105
106,106.0,1.3077725381831493,0.569125,train,106
107,107.0,1.3056272029622016,0.5699,train,107
108,108.0,1.3034989589319634,0.57075,train,108
109,109.0,1.3013877315476448,0.571725,train,109
110,110.0,1.2992934709935753,0.5726,train,110
111,111.0,1.2972161166772513,0.573425,train,111
112,112.0,1.2951555795969756,0.5745,train,112
113,113.0,1.2931117428667567,0.575525,train,113
114,114.0,1.2910844702014215,0.5763,train,114
115,115.0,1.2890736137931356,0.5771,train,115
116,116.0,1.2870790182039404,0.578125,train,116
